id,lkp_id,nama_kelas,link,peserta,lulusan,status,program_keterampilan
K-MOODLE-1089,LKP-71a2faa541,Pelatihan Cleaning Service Profesional,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1089,129,0,Sudah Berjalan,
K-MOODLE-387,LKP-71a2faa541,Pelatihan Meracik Minuman Kopi Menjadi Barista Profesional,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=387,37,0,Sudah Berjalan,
K-MOODLE-794,LKP-71a2faa541,Hazard Analysis and Critical Control Point (HACCP) for Food Handler,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=794,754,0,Sudah Berjalan,
K-MOODLE-395,LKP-834c26d027,Menjadi Room Attendant Profesional Di Hotel Berbintang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=395,2,0,Sudah Berjalan,
K-MOODLE-847,LKP-65a59213b3,kursusbaru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=847,4,0,Sudah Berjalan,
K-MOODLE-1067,LKP-31e4f395aa,Kursus Baru LKP Tisa Surakarta,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1067,1,0,Sudah Berjalan,
K-MOODLE-830,LKP-d5ed05ebff,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=830,2,0,Sudah Berjalan,
K-MOODLE-2057,LKP-53ae7cef14,Digital marketing untuk pemula - Cakra,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2057,2,0,Sudah Berjalan,
K-MOODLE-759,LKP-1d78b6b42e,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=759,2,0,Sudah Berjalan,
K-MOODLE-471,LKP-f9dfd0c409,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=471,2,0,Sudah Berjalan,
K-MOODLE-426,LKP-784a844d6f,Kursus Tata Rias Pengantin Solo Putri,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=426,7,0,Sudah Berjalan,
K-MOODLE-1263,LKP-7938db2e95,Public speaking Probest,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1263,2,0,Sudah Berjalan,
K-MOODLE-1231,LKP-c249773767,Aplikasi Perkantoran Profesional,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1231,2,0,Sudah Berjalan,
K-MOODLE-1250,LKP-c249773767,Akuntansi Dasar,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1250,2,0,Sudah Berjalan,
K-MOODLE-2028,LKP-c249773767,LKP Politeknik Indonesia Internasional,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2028,2,0,Sudah Berjalan,
K-MOODLE-2101,LKP-c249773767,Pemograman Dasar,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2101,2,0,Sudah Berjalan,
K-MOODLE-1385,LKP-0554b431d1,Fashion Ilustration  Arva School of Fashion,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1385,1,0,Sudah Berjalan,
K-MOODLE-1113,LKP-6ffe0c4bc3,Kursus Tata Kecantikan Kulit Dasar,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1113,9,0,Sudah Berjalan,
K-MOODLE-704,LKP-6ffe0c4bc3,Tehnologi Kecantikan Tepat Guna Kulit Indonesia,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=704,17,0,Sudah Berjalan,
K-MOODLE-554,LKP-bdf2cdb127,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=554,2,0,Sudah Berjalan,
K-MOODLE-760,LKP-fe658e77d3,Kursus Public Speaking,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=760,2,0,Sudah Berjalan,
K-MOODLE-640,LKP-52b6ac9bbb,TEKNIK MEMBATIK TULIS 2022,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=640,3,0,Sudah Berjalan,
K-MOODLE-828,LKP-353abd964f,Kursus Bahasa Indonesia,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=828,2,0,Sudah Berjalan,
K-MOODLE-805,LKP-5ea8064f05,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=805,2,0,Sudah Berjalan,
K-MOODLE-809,LKP-d528b80684,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=809,2,0,Sudah Berjalan,
K-MOODLE-832,LKP-b2028cb600,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=832,2,0,Sudah Berjalan,
K-MOODLE-1375,LKP-518d58be80,"LKP Trisakti K3, Pelayanan Prima dan Bekerja dalam Tim",https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1375,1,0,Sudah Berjalan,
K-MOODLE-2105,LKP-eea6c7161f,Cake Product,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2105,1,0,Sudah Berjalan,
K-MOODLE-520,LKP-eea6c7161f,Bakery Product,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=520,39,0,Sudah Berjalan,
K-MOODLE-557,LKP-9a509ca553,Teknik Pengukuran dengan Avometer untuk Service Handphone,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=557,19,0,Sudah Berjalan,
K-MOODLE-715,LKP-a9380777b7,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=715,2,0,Sudah Berjalan,
K-MOODLE-546,LKP-ee80b456b3,Manajemen Usaha Kecil,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=546,28,0,Sudah Berjalan,
K-MOODLE-834,LKP-ee80b456b3,Origami Fabric,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=834,6,0,Sudah Berjalan,
K-MOODLE-826,LKP-b3beb5dbc3,Kursus Baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=826,2,0,Sudah Berjalan,
K-MOODLE-831,LKP-6278948c3f,Lembaga Indonesia Spanyol,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=831,1,0,Sudah Berjalan,
K-MOODLE-645,LKP-7cb7a6cc7f,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=645,2,0,Sudah Berjalan,
K-MOODLE-1267,LKP-227969fb38,SPA LKP DENDE,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1267,2,0,Sudah Berjalan,
K-MOODLE-1238,LKP-b49619b6f6,LKP P4M Mataram,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1238,2,0,Sudah Berjalan,
K-MOODLE-675,LKP-b49619b6f6,Mahir Menggunakan Aplikasi CorelDraw,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=675,2,0,Sudah Berjalan,
K-MOODLE-682,LKP-e668500cfc,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=682,1,0,Sudah Berjalan,
K-MOODLE-503,LKP-612a0f8a2e,ADMINISTRASI PERKANTORAN,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=503,3,0,Sudah Berjalan,
K-MOODLE-1048,LKP-d055eba05d,Bimbingan Belajar SKD CPNS - LKP ISQ School,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1048,1,0,Sudah Berjalan,
