tipe,nilai
provinsi,Aceh
provinsi,Bali
provinsi,Banten
provinsi,Bengkulu
provinsi,D.I. Yogyakarta
provinsi,D.K.I. Jakarta
provinsi,Gorontalo
provinsi,Jambi
provinsi,Jawa Barat
provinsi,Jawa Tengah
provinsi,Jawa Timur
provinsi,Kalimantan Barat
provinsi,Kalimantan Selatan
provinsi,Kalimantan Tengah
provinsi,Kalimantan Timur
provinsi,Kalimantan Utara
provinsi,Kepulauan Bangka Belitung
provinsi,Kepulauan Riau
provinsi,Lampung
provinsi,Maluku
provinsi,Maluku Utara
provinsi,Nusa Tenggara Barat
provinsi,Nusa Tenggara Timur
provinsi,Papua
provinsi,Papua Barat
provinsi,Papua Barat Daya
provinsi,Papua Pegunungan
provinsi,Papua Selatan
provinsi,Papua Tengah
provinsi,Riau
provinsi,Sulawesi Barat
provinsi,Sulawesi Selatan
provinsi,Sulawesi Tengah
provinsi,Sulawesi Tenggara
provinsi,Sulawesi Utara
provinsi,Sumatera Barat
provinsi,Sumatera Selatan
provinsi,Sumatera Utara
program,Agribisnis dan Agroteknologi
program,Bahasa
program,Industri dan Kerajinan
program,Kelestarian Lingkungan
program,Pelayanan Sosial dan Masyarakat
program,Kesehatan dan Pekerjaan Sosial
program,Bisnis dan Manajemen
program,Komunikasi dan Informasi
program,Pariwisata
program,"Seni, Budaya dan Ekonomi Kreatif"
program,Rekayasa dan Teknologi
program,Teknologi Informasi dan Digital
program,Transportasi
program,Kependidikan
