id,lkp_id,nama_kelas,link,peserta,lulusan,status
K-101-0,LKP-0d878b3bba,Tata kecantikan rambut,,0,0,Materi Belum Lengkap
K-101-1,LKP-0d878b3bba,Tata kecantikan rambut,,0,0,Materi Belum Lengkap
K-101-2,LKP-0d878b3bba,Tata kecantikan rambut,,0,0,Materi Belum Lengkap
K-111-0,LKP-059539cbe3,kursusbaru LKP Lembaga Pendidikan Indonesia Amerika,,0,0,Materi Belum Lengkap
K-111-1,LKP-059539cbe3,kursusbaru LKP Lembaga Pendidikan Indonesia Amerika,,0,0,Materi Belum Lengkap
K-111-2,LKP-059539cbe3,kursusbaru LKP Lembaga Pendidikan Indonesia Amerika,,0,0,Materi Belum Lengkap
K-266-0,LKP-a6c3d916b9,kursus baru,,0,0,Materi Belum Lengkap
K-266-1,LKP-a6c3d916b9,kursus baru,,0,0,Materi Belum Lengkap
K-266-2,LKP-a6c3d916b9,kursus baru,,0,0,Materi Belum Lengkap
K-450-0,LKP-a75db08411,TEST LPIA-EPT (TOEFL®),,0,0,Materi Lengkap - Belum Ada Peserta
K-450-1,LKP-a75db08411,TEST LPIA-EPT (TOEFL®),,0,0,Materi Lengkap - Belum Ada Peserta
K-450-2,LKP-a75db08411,TEST LPIA-EPT (TOEFL®),,0,0,Materi Lengkap - Belum Ada Peserta
K-483-0,LKP-bff34a41b6,Basic 1,,0,0,Materi Belum Lengkap
K-483-1,LKP-bff34a41b6,Basic 1,,0,0,Materi Belum Lengkap
K-483-2,LKP-bff34a41b6,Basic 1,,0,0,Materi Belum Lengkap
K-486-0,LKP-eeb0ae60de,kursus baru,,0,0,Materi Belum Lengkap
K-486-1,LKP-eeb0ae60de,kursus baru,,0,0,Materi Belum Lengkap
K-486-2,LKP-eeb0ae60de,kursus baru,,0,0,Materi Belum Lengkap
K-517-0,LKP-b722894d55,Optimalisasi Media Sosial,,0,0,Materi Belum Lengkap
K-517-1,LKP-b722894d55,Optimalisasi Media Sosial,,0,0,Materi Belum Lengkap
K-517-2,LKP-b722894d55,Optimalisasi Media Sosial,,0,0,Materi Belum Lengkap
K-628-0,LKP-43fa84a37d,kursus baru,,0,0,Materi Belum Lengkap
K-628-1,LKP-43fa84a37d,kursus baru,,0,0,Materi Belum Lengkap
K-628-2,LKP-43fa84a37d,kursus baru,,0,0,Materi Belum Lengkap
K-630-0,LKP-d13c9c90d2,kursus baru,,0,0,Materi Belum Lengkap
K-630-1,LKP-d13c9c90d2,kursus baru,,0,0,Materi Belum Lengkap
K-630-2,LKP-d13c9c90d2,kursus baru,,0,0,Materi Belum Lengkap
K-649-0,LKP-a6fd2bbb7c,Bahasa Korea EPS-TOPIK,,2,0,Sudah Berjalan
K-649-1,LKP-a6fd2bbb7c,Bahasa Korea EPS-TOPIK,,2,0,Sudah Berjalan
K-649-2,LKP-a6fd2bbb7c,Bahasa Korea EPS-TOPIK,,2,0,Sudah Berjalan
K-679-0,LKP-eae68b2792,kursus baru,,0,0,Materi Belum Lengkap
K-679-1,LKP-eae68b2792,kursus baru,,0,0,Materi Belum Lengkap
K-679-2,LKP-eae68b2792,kursus baru,,0,0,Materi Belum Lengkap
K-683-0,LKP-5b8941f640,Perawatan Sepeda Motor Injeksi,,0,0,Materi Belum Lengkap
K-683-1,LKP-5b8941f640,Perawatan Sepeda Motor Injeksi,,0,0,Materi Belum Lengkap
K-683-2,LKP-5b8941f640,Perawatan Sepeda Motor Injeksi,,0,0,Materi Belum Lengkap
K-694-0,LKP-d596abb5ea,kursusbaru,,0,0,Materi Belum Lengkap
K-694-1,LKP-d596abb5ea,kursusbaru,,0,0,Materi Belum Lengkap
K-694-2,LKP-d596abb5ea,kursusbaru,,0,0,Materi Belum Lengkap
K-696-0,LKP-745803c291,barista,,2,0,Sudah Berjalan
K-696-1,LKP-745803c291,barista,,2,0,Sudah Berjalan
K-696-2,LKP-745803c291,barista,,2,0,Sudah Berjalan
K-709-0,LKP-29c5c321b3,"Barista
Dari Sampah Menjadi Cuan",,29,0,Sudah Berjalan
K-709-1,LKP-29c5c321b3,"Barista
Dari Sampah Menjadi Cuan",,29,0,Sudah Berjalan
K-709-2,LKP-29c5c321b3,"Barista
Dari Sampah Menjadi Cuan",,29,0,Sudah Berjalan
K-725-0,LKP-fde24525ef,kursus baru,,0,0,Materi Belum Lengkap
K-725-1,LKP-fde24525ef,kursus baru,,0,0,Materi Belum Lengkap
K-725-2,LKP-fde24525ef,kursus baru,,0,0,Materi Belum Lengkap
K-730-0,LKP-e6c6d3f952,kursus baru,,0,0,Materi Belum Lengkap
K-730-1,LKP-e6c6d3f952,kursus baru,,0,0,Materi Belum Lengkap
K-730-2,LKP-e6c6d3f952,kursus baru,,0,0,Materi Belum Lengkap
K-759-0,LKP-3540650f67,kursusbaru,,0,0,Materi Belum Lengkap
K-759-1,LKP-3540650f67,kursusbaru,,0,0,Materi Belum Lengkap
K-759-2,LKP-3540650f67,kursusbaru,,0,0,Materi Belum Lengkap
K-781-0,LKP-454782b195,kursus baru,,0,0,Materi Belum Lengkap
K-781-1,LKP-454782b195,kursus baru,,0,0,Materi Belum Lengkap
K-781-2,LKP-454782b195,kursus baru,,0,0,Materi Belum Lengkap
K-783-0,LKP-168c621411,kursus baru,,0,0,Materi Belum Lengkap
K-783-1,LKP-168c621411,kursus baru,,0,0,Materi Belum Lengkap
K-783-2,LKP-168c621411,kursus baru,,0,0,Materi Belum Lengkap
K-851-0,LKP-3e4d40d48a,kursus baru,,0,0,Materi Belum Lengkap
