id,npsn,nama_lkp,alamat,provinsi,kab_kota,program_keterampilan,status_bimtek,tahun_bimtek,catatan,created_at,updated_at
LKP-b6fb342cee,K5662895,LKP EF English First English Centre,"Jl. Jend. Sudirman (Gd. FX Sudirman), RT/RW. 1/3, Des/Kel. Gelora",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-15cff56756,K5668318,LKP TRISAKTI BISNIS UTAMA,"Gd. STC Senayan Lt.3 No. 178 B JL. Asia Afrika Pintu 9 Gelora Senayan, RT/RW. 0/0, Des/Kel. Gelora",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-02f83b6d93,K9997824,LKP IC EDU,"Gd Plaza Unit R3, Ground Floor Jl. Gelora 2 No. 01 RT. 1/RW. 1, RT/RW. 1/1, Des/Kel. Gelora",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-acf59ec853,K5662861,PT. ACTIVINO SYSTEM INFORMATIKA,"Wisma Nugra Santana Lt. 2 Jl. Jenderal Sudirman Kav.708 , RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-8db41891b4,K5662883,LKP Raffles Institute of Higher Education,"CityWalk No.121 Lt.6  Jl. K.H Mas Mansyur, RT/RW. 8/4, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-618e60dc05,K5662891,LKP Lasalle College Internasional,"Sahid Office Boutique Unit D0F Jl. Jend. Sudirman Kav.86, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-4089bf193f,K5668582,LKP LONDON SCHOOL OF PUBLIC RELATIONS,"JL. KH MAS MANSYUR KAV. 35 , RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-0b1c603e3b,K5669533,LKP LPP SwipeRx,"JL. K.H. MAS MANSYUR NO.19 RT 10 / RW 6 KARET TENGSIN, TANAH ABANG, KOTA JAKARTA, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-1d34c27cf7,K9989854,LKP Mitra Akademi Perkasa,"Gedung Sahid Sudirman Center Lantai 28, Jl. Jend. Sudirman Kav 86, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-3130645edb,K9997197,LKP TAXSAM.CO,"Sudirman Park Jl. KH Mas Mansyur No. 12 C Kav. 35, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-a002ada249,K9997840,LKP Pariwisata & Hospitaliti Sahid,"Sahid Sudirman Residence Office Lantai 5 Jl. Jenderal Sudirman No. 86 RT.10/RW.1, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-3063efc74a,K9998296,LKP IALF Jakarta,"Sudirman Park C 38 , Jl. KH. Mas Mansyur Kav. 35 , RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-071e95d91c,K9998523,LKP Hatarakimasu Indonesia,"Cityloft Sudirman lt 11 Unit 1101 & 1103, Jl. KH Mas Mansyur No 121, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-21fc54bbb5,K9998731,LKP IDS International Design School,"Cityloft Sudirman lt 11 Unit 20, Jl. KH Mas Mansyur No 12, RT/RW. 0/0, Des/Kel. Karet Tengsin",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-6a40374800,K9981274,LKP Tax Training House,"Address: Chubb Square, 9th Floor, Jl. M.H. Thamrin No. 10, RT/RW. 14/20, Des/Kel. Kebon Melati",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-cfdc8e5a2b,K9997378,LKP BAKINGWORLD,"Office Park Thamrin City Blok AB 09 Jl. Thamrin Boulevard RT.007/RW.009, RT/RW. 10/9, Des/Kel. Kebon Melati",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-4cb59182d1,K5662803,LKP Chyantika Beauty,"Jl. Petamburan III No.4  Jakarta Pusat, DKI Jakarta 10260, RT/RW. 4/4, Des/Kel. Petamburan",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-8f3376c193,K5662828,INTERNATIONAL LANGUAGE PROGRAMS 0 KS TUBUN BRANCH,"Jl. KS. Tubun Raya No.14 Jakarta Pusat, DKI Jakarta, DKI Jakarta 10260, RT/RW. 5/6, Des/Kel. Petamburan",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-b6dc34b0d6,K9990187,LKP ARKAMAYA,"DIPPO BUSINESS CENTER, Jl. Jend. Gatot Subroto Kav. 50 0 52 Petamburan, Jakarta , RT/RW. 0/0, Des/Kel. Petamburan",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-ff644cef6c,K5669021,LKP TALK INC,"JL. Kendal No. 18 A0B RT.010/RW.006, RT/RW. 10/6, Des/Kel. Menteng",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
LKP-899294a19b,K9981418,LKP GINGER,"JL. HOS COKROAMINOTO NO 70080, RT/RW. 0/0, Des/Kel. Menteng",D.K.I. Jakarta,Kota Jakarta Pusat,,Belum Bimtek,,,2026-07-15T00:00:00.000Z,2026-07-15T00:00:00.000Z
